Magnetic_Field_Strength,Gradient_Strength,RF_Power,Pulse_Sequence,Scan_Duration,Time,label,parameter
2,40,139,3,29,6,Malfunction,Gradient_Strength
1,16,214,3,26,10,Malfunction,RF_Power
6,19,130,3,40,7,Malfunction,Magnetic_Field_Strength
2,5,108,6,41,7,Malfunction,Pulse_Sequence
1,30,153,0,76,10,Malfunction,Scan_Duration
1,39,77,3,39,6,Malfunction,Gradient_Strength
2,16,127,4,78,7,Malfunction,Scan_Duration
1,27,188,4,33,4,Not malfunction,parameters are working correctly
5,14,86,2,40,9,Malfunction,Magnetic_Field_Strength
2,20,110,3,88,7,Malfunction,Scan_Duration
1,20,232,3,32,9,Malfunction,RF_Power
4,19,129,3,32,8,Malfunction,Magnetic_Field_Strength
2,28,154,3,37,3,Not malfunction,parameters are working correctly
1,22,222,3,35,9,Malfunction,RF_Power
1,18,120,8,33,10,Malfunction,Pulse_Sequence
1,37,130,3,42,6,Malfunction,Gradient_Strength
3,28,197,2,36,2,Not malfunction,parameters are working correctly
1,15,185,2,33,4,Not malfunction,parameters are working correctly
1,20,159,3,43,4,Not malfunction,parameters are working correctly
2,19,68,1,28,3,Not malfunction,parameters are working correctly
5,21,104,3,27,10,Malfunction,Magnetic_Field_Strength
1,20,125,6,3,9,Malfunction,Pulse_Sequence
2,23,125,7,19,9,Malfunction,Pulse_Sequence
1,36,137,3,31,7,Malfunction,Gradient_Strength
1,13,155,6,36,6,Malfunction,Pulse_Sequence
3,15,175,3,28,3,Not malfunction,parameters are working correctly
1,18,189,3,32,4,Not malfunction,parameters are working correctly
3,21,51,3,25,5,Not malfunction,parameters are working correctly
2,25,233,3,27,8,Malfunction,RF_Power
2,24,164,1,49,3,Not malfunction,parameters are working correctly
5,26,51,3,52,7,Malfunction,Magnetic_Field_Strength
2,12,119,2,73,8,Malfunction,Scan_Duration
3,27,70,4,42,4,Not malfunction,parameters are working correctly
2,27,57,4,21,5,Not malfunction,parameters are working correctly
2,17,103,8,41,9,Malfunction,Pulse_Sequence
6,23,92,3,28,7,Malfunction,Magnetic_Field_Strength
1,24,116,8,37,9,Malfunction,Pulse_Sequence
1,14,126,1,87,7,Malfunction,Scan_Duration
3,17,93,3,26,4,Not malfunction,parameters are working correctly
3,19,126,2,56,3,Not malfunction,parameters are working correctly
0,16,93,2,70,7,Malfunction,Scan_Duration
2,16,59,4,51,1,Not malfunction,parameters are working correctly
3,12,191,2,21,3,Not malfunction,parameters are working correctly
2,12,173,1,56,4,Not malfunction,parameters are working correctly
1,20,139,6,25,9,Malfunction,Pulse_Sequence
1,24,197,2,40,5,Not malfunction,parameters are working correctly
1,28,72,1,53,3,Not malfunction,parameters are working correctly
1,39,98,3,50,8,Malfunction,Gradient_Strength
2,17,116,4,20,1,Not malfunction,parameters are working correctly
2,21,164,3,15,5,Not malfunction,parameters are working correctly
3,18,101,5,41,4,Not malfunction,parameters are working correctly
6,22,86,1,27,9,Malfunction,Magnetic_Field_Strength
3,26,138,2,18,5,Not malfunction,parameters are working correctly
6,19,58,2,35,8,Malfunction,Magnetic_Field_Strength
1,17,237,2,56,8,Malfunction,RF_Power
3,22,167,4,32,3,Not malfunction,parameters are working correctly
2,20,122,3,56,2,Not malfunction,parameters are working correctly
2,11,69,2,59,1,Not malfunction,parameters are working correctly
3,30,76,3,54,1,Not malfunction,parameters are working correctly
1,40,168,3,51,7,Malfunction,Gradient_Strength
3,36,175,1,31,7,Malfunction,Gradient_Strength
1,35,168,3,31,8,Malfunction,Gradient_Strength
3,18,129,2,25,1,Not malfunction,parameters are working correctly
1,29,187,4,16,4,Not malfunction,parameters are working correctly
2,23,62,3,30,3,Not malfunction,parameters are working correctly
3,14,76,5,17,2,Not malfunction,parameters are working correctly
3,18,161,1,56,1,Not malfunction,parameters are working correctly
1,18,106,2,90,6,Malfunction,Scan_Duration
2,22,81,3,47,1,Not malfunction,parameters are working correctly
1,39,143,4,58,8,Malfunction,Gradient_Strength
1,12,138,1,55,3,Not malfunction,parameters are working correctly
1,24,56,4,36,1,Not malfunction,parameters are working correctly
1,16,115,2,20,2,Not malfunction,parameters are working correctly
6,12,150,1,50,9,Malfunction,Magnetic_Field_Strength
1,28,194,4,43,4,Not malfunction,parameters are working correctly
0,37,34,3,43,8,Malfunction,Gradient_Strength
3,24,154,5,59,2,Not malfunction,parameters are working correctly
2,29,63,4,30,3,Not malfunction,parameters are working correctly
0,22,188,2,73,6,Malfunction,Scan_Duration
1,25,143,3,71,10,Malfunction,Scan_Duration
3,28,161,2,44,1,Not malfunction,parameters are working correctly
1,13,134,2,58,1,Not malfunction,parameters are working correctly
2,35,159,2,61,9,Malfunction,Gradient_Strength
1,30,248,1,31,10,Malfunction,RF_Power
1,26,56,2,26,5,Not malfunction,parameters are working correctly
1,15,61,3,21,1,Not malfunction,parameters are working correctly
6,12,158,3,11,8,Malfunction,Magnetic_Field_Strength
2,29,63,5,35,4,Not malfunction,parameters are working correctly
1,27,125,4,57,5,Not malfunction,parameters are working correctly
2,35,133,4,24,7,Malfunction,Gradient_Strength
3,26,80,2,45,4,Not malfunction,parameters are working correctly
6,20,106,3,36,8,Malfunction,Magnetic_Field_Strength
1,18,133,5,44,3,Not malfunction,parameters are working correctly
2,21,124,2,84,8,Malfunction,Scan_Duration
2,16,73,5,16,2,Not malfunction,parameters are working correctly
1,10,176,2,60,1,Not malfunction,parameters are working correctly
1,24,180,3,42,4,Not malfunction,parameters are working correctly
3,19,86,1,58,5,Not malfunction,parameters are working correctly
1,17,69,3,53,1,Not malfunction,parameters are working correctly
2,19,90,2,73,6,Malfunction,Scan_Duration
1,13,157,8,32,8,Malfunction,Pulse_Sequence
1,22,152,4,71,9,Malfunction,Scan_Duration
2,19,159,1,70,8,Malfunction,Scan_Duration
3,13,161,3,42,3,Not malfunction,parameters are working correctly
5,23,100,5,49,7,Malfunction,Magnetic_Field_Strength
2,13,182,5,39,2,Not malfunction,parameters are working correctly
1,25,154,4,42,5,Not malfunction,parameters are working correctly
5,24,68,2,34,6,Malfunction,Magnetic_Field_Strength
2,29,104,1,89,8,Malfunction,Scan_Duration
2,18,250,1,35,9,Malfunction,RF_Power
4,19,90,5,23,9,Malfunction,Magnetic_Field_Strength
2,30,214,2,42,8,Malfunction,RF_Power
0,28,153,1,76,10,Malfunction,Scan_Duration
2,26,66,3,51,3,Not malfunction,parameters are working correctly
1,35,135,2,41,7,Malfunction,Gradient_Strength
2,36,150,3,49,8,Malfunction,Gradient_Strength
2,18,138,3,79,7,Malfunction,Scan_Duration
2,19,213,4,30,6,Malfunction,RF_Power
4,14,166,1,61,9,Malfunction,Magnetic_Field_Strength
2,23,55,3,24,3,Not malfunction,parameters are working correctly
2,11,126,3,85,9,Malfunction,Scan_Duration
1,16,163,2,74,6,Malfunction,Scan_Duration
3,24,106,3,18,1,Not malfunction,parameters are working correctly
1,25,151,1,50,4,Not malfunction,parameters are working correctly
3,29,143,5,54,1,Not malfunction,parameters are working correctly
5,19,68,3,42,9,Malfunction,Magnetic_Field_Strength
6,19,170,3,36,7,Malfunction,Magnetic_Field_Strength
2,9,164,1,81,8,Malfunction,Scan_Duration
3,24,51,1,41,3,Not malfunction,parameters are working correctly
1,22,195,7,37,10,Malfunction,Pulse_Sequence
0,35,103,2,38,7,Malfunction,Gradient_Strength
1,29,171,1,43,4,Not malfunction,parameters are working correctly
3,21,67,5,48,3,Not malfunction,parameters are working correctly
1,25,230,3,39,6,Malfunction,RF_Power
1,18,174,6,53,7,Malfunction,Pulse_Sequence
2,14,57,2,90,9,Malfunction,Scan_Duration
1,11,97,5,32,3,Not malfunction,parameters are working correctly
1,19,98,1,45,1,Not malfunction,parameters are working correctly
1,18,226,3,34,8,Malfunction,RF_Power
1,12,235,3,42,9,Malfunction,RF_Power
2,15,133,5,24,3,Not malfunction,parameters are working correctly
5,21,179,3,51,9,Malfunction,Magnetic_Field_Strength
3,28,170,2,49,5,Not malfunction,parameters are working correctly
1,36,82,1,20,8,Malfunction,Gradient_Strength
1,19,153,6,42,8,Malfunction,Pulse_Sequence
2,23,175,1,76,6,Malfunction,Scan_Duration
1,10,104,2,57,2,Not malfunction,parameters are working correctly
4,21,40,2,28,6,Malfunction,Magnetic_Field_Strength
2,21,150,1,81,6,Malfunction,Scan_Duration
2,19,237,2,38,7,Malfunction,RF_Power
6,16,63,4,33,6,Malfunction,Magnetic_Field_Strength
2,25,140,3,84,7,Malfunction,Scan_Duration
2,15,101,8,37,8,Malfunction,Pulse_Sequence
5,12,74,1,28,6,Malfunction,Magnetic_Field_Strength
1,19,55,6,35,10,Malfunction,Pulse_Sequence
2,25,144,4,78,6,Malfunction,Scan_Duration
2,21,168,1,43,2,Not malfunction,parameters are working correctly
1,14,211,3,52,6,Malfunction,RF_Power
2,35,152,1,52,9,Malfunction,Gradient_Strength
1,40,110,1,50,8,Malfunction,Gradient_Strength
1,8,144,2,84,10,Malfunction,Scan_Duration
2,10,106,4,49,4,Not malfunction,parameters are working correctly
1,14,157,4,55,5,Not malfunction,parameters are working correctly
3,30,108,4,36,2,Not malfunction,parameters are working correctly
2,35,127,3,23,10,Malfunction,Gradient_Strength
4,22,108,3,31,10,Malfunction,Magnetic_Field_Strength
3,16,61,5,17,1,Not malfunction,parameters are working correctly
2,38,57,5,42,8,Malfunction,Gradient_Strength
3,14,198,5,31,2,Not malfunction,parameters are working correctly
1,19,139,6,47,9,Malfunction,Pulse_Sequence
2,12,122,4,19,3,Not malfunction,parameters are working correctly
2,26,148,4,38,1,Not malfunction,parameters are working correctly
5,20,101,3,41,8,Malfunction,Magnetic_Field_Strength
6,19,136,3,27,8,Malfunction,Magnetic_Field_Strength
4,22,122,3,33,8,Malfunction,Magnetic_Field_Strength
3,19,180,1,44,2,Not malfunction,parameters are working correctly
1,29,232,3,28,6,Malfunction,RF_Power
1,37,139,2,26,10,Malfunction,Gradient_Strength
2,18,129,8,56,8,Malfunction,Pulse_Sequence
4,15,134,2,43,7,Malfunction,Magnetic_Field_Strength
1,24,139,2,77,7,Malfunction,Scan_Duration
2,20,162,4,26,3,Not malfunction,parameters are working correctly
1,21,235,3,42,7,Malfunction,RF_Power
1,20,166,2,19,3,Not malfunction,parameters are working correctly
5,17,117,2,27,9,Malfunction,Magnetic_Field_Strength
1,18,131,3,31,2,Not malfunction,parameters are working correctly
2,10,167,5,17,2,Not malfunction,parameters are working correctly
1,18,119,7,59,10,Malfunction,Pulse_Sequence
2,36,132,4,38,8,Malfunction,Gradient_Strength
1,29,131,4,42,4,Not malfunction,parameters are working correctly
1,11,54,4,36,3,Not malfunction,parameters are working correctly
3,14,200,2,38,1,Not malfunction,parameters are working correctly
1,24,140,2,56,1,Not malfunction,parameters are working correctly
2,18,55,7,28,10,Malfunction,Pulse_Sequence
5,20,175,2,44,8,Malfunction,Magnetic_Field_Strength
2,28,138,1,37,1,Not malfunction,parameters are working correctly
1,15,169,3,28,4,Not malfunction,parameters are working correctly
1,36,155,2,29,9,Malfunction,Gradient_Strength
3,23,131,4,56,4,Not malfunction,parameters are working correctly
5,26,119,3,36,10,Malfunction,Magnetic_Field_Strength
2,15,184,5,30,1,Not malfunction,parameters are working correctly
3,12,193,4,24,4,Not malfunction,parameters are working correctly
3,27,194,1,34,5,Not malfunction,parameters are working correctly
3,22,169,4,16,1,Not malfunction,parameters are working correctly
2,26,66,3,42,1,Not malfunction,parameters are working correctly
2,17,162,5,32,4,Not malfunction,parameters are working correctly
2,24,214,7,34,6,Malfunction,Pulse_Sequence
3,10,158,3,55,3,Not malfunction,parameters are working correctly
3,25,133,3,16,5,Not malfunction,parameters are working correctly
1,19,90,8,25,10,Malfunction,Pulse_Sequence
1,21,155,2,22,3,Not malfunction,parameters are working correctly
2,8,108,4,75,9,Malfunction,Scan_Duration
1,29,147,2,20,2,Not malfunction,parameters are working correctly
1,12,235,3,20,7,Malfunction,RF_Power
1,37,92,3,45,7,Malfunction,Gradient_Strength
1,24,147,4,19,5,Not malfunction,parameters are working correctly
5,15,121,3,31,7,Malfunction,Magnetic_Field_Strength
0,15,219,4,22,9,Malfunction,RF_Power
2,24,152,2,33,2,Not malfunction,parameters are working correctly
2,29,107,4,22,1,Not malfunction,parameters are working correctly
1,35,128,3,44,9,Malfunction,Gradient_Strength
1,18,68,2,74,8,Malfunction,Scan_Duration
3,14,128,3,24,2,Not malfunction,parameters are working correctly
2,39,134,3,27,10,Malfunction,Gradient_Strength
2,15,92,4,30,2,Not malfunction,parameters are working correctly
2,24,127,4,20,1,Not malfunction,parameters are working correctly
1,10,168,2,27,3,Not malfunction,parameters are working correctly
2,30,221,2,26,7,Malfunction,RF_Power
1,21,161,1,54,1,Not malfunction,parameters are working correctly
2,16,225,3,7,9,Malfunction,RF_Power
1,35,114,3,30,6,Malfunction,Gradient_Strength
2,22,50,1,16,2,Not malfunction,parameters are working correctly
2,21,183,1,75,7,Malfunction,Scan_Duration
1,37,156,3,40,9,Malfunction,Gradient_Strength
3,27,178,2,17,3,Not malfunction,parameters are working correctly
3,20,162,3,55,1,Not malfunction,parameters are working correctly
3,16,119,1,23,3,Not malfunction,parameters are working correctly
5,17,102,2,48,8,Malfunction,Magnetic_Field_Strength
1,19,248,3,31,7,Malfunction,RF_Power
2,21,105,1,19,1,Not malfunction,parameters are working correctly
1,15,193,2,16,3,Not malfunction,parameters are working correctly
2,36,125,0,50,7,Malfunction,Gradient_Strength
1,14,117,6,48,9,Malfunction,Pulse_Sequence
2,15,191,5,57,1,Not malfunction,parameters are working correctly
2,26,101,1,59,5,Not malfunction,parameters are working correctly
2,24,224,2,27,8,Malfunction,RF_Power
1,13,195,2,19,2,Not malfunction,parameters are working correctly
1,25,154,2,20,5,Not malfunction,parameters are working correctly
2,18,128,5,46,3,Not malfunction,parameters are working correctly
1,27,116,6,57,7,Malfunction,Pulse_Sequence
1,17,86,5,20,3,Not malfunction,parameters are working correctly
4,11,128,4,51,9,Malfunction,Magnetic_Field_Strength
1,29,219,2,45,6,Malfunction,RF_Power
2,38,191,2,29,7,Malfunction,Gradient_Strength
1,23,229,2,35,8,Malfunction,RF_Power
1,14,102,3,55,5,Not malfunction,parameters are working correctly
1,10,72,5,32,1,Not malfunction,parameters are working correctly
1,37,154,1,26,6,Malfunction,Gradient_Strength
6,20,125,1,36,9,Malfunction,Magnetic_Field_Strength
1,21,232,1,27,10,Malfunction,RF_Power
1,15,168,5,54,1,Not malfunction,parameters are working correctly
2,28,159,3,56,4,Not malfunction,parameters are working correctly
4,12,85,3,23,8,Malfunction,Magnetic_Field_Strength
3,12,135,5,35,1,Not malfunction,parameters are working correctly
3,30,75,5,55,3,Not malfunction,parameters are working correctly
1,24,140,1,38,5,Not malfunction,parameters are working correctly
1,19,197,4,73,8,Malfunction,Scan_Duration
3,29,132,5,25,2,Not malfunction,parameters are working correctly
2,24,242,2,27,10,Malfunction,RF_Power
3,22,72,2,51,1,Not malfunction,parameters are working correctly
2,40,191,3,55,7,Malfunction,Gradient_Strength
3,24,162,4,33,5,Not malfunction,parameters are working correctly
3,16,156,4,52,3,Not malfunction,parameters are working correctly
1,18,166,6,35,9,Malfunction,Pulse_Sequence
1,22,144,8,35,9,Malfunction,Pulse_Sequence
2,12,226,3,31,10,Malfunction,RF_Power
1,29,184,4,59,5,Not malfunction,parameters are working correctly
1,14,120,4,38,3,Not malfunction,parameters are working correctly
6,30,157,2,33,7,Malfunction,Magnetic_Field_Strength
3,13,52,1,27,5,Not malfunction,parameters are working correctly
3,19,167,5,28,4,Not malfunction,parameters are working correctly
2,17,195,7,50,10,Malfunction,Pulse_Sequence
3,16,83,8,26,10,Malfunction,Pulse_Sequence
3,26,87,2,25,5,Not malfunction,parameters are working correctly
3,25,59,1,59,1,Not malfunction,parameters are working correctly
1,29,182,5,60,2,Not malfunction,parameters are working correctly
1,27,108,8,63,7,Malfunction,Pulse_Sequence
4,12,213,1,39,8,Malfunction,Magnetic_Field_Strength
2,11,195,5,35,4,Not malfunction,parameters are working correctly
1,25,198,3,60,5,Not malfunction,parameters are working correctly
1,13,98,5,52,4,Not malfunction,parameters are working correctly
2,26,119,6,37,9,Malfunction,Pulse_Sequence
3,25,187,1,56,3,Not malfunction,parameters are working correctly
2,36,125,3,41,6,Malfunction,Gradient_Strength
1,36,146,2,35,9,Malfunction,Gradient_Strength
1,27,217,3,20,7,Malfunction,RF_Power
2,35,145,4,40,10,Malfunction,Gradient_Strength
5,15,120,3,43,10,Malfunction,Magnetic_Field_Strength
2,14,149,4,20,1,Not malfunction,parameters are working correctly
2,18,245,2,27,8,Malfunction,RF_Power
1,11,145,2,71,7,Malfunction,Scan_Duration
2,14,213,3,47,10,Malfunction,RF_Power
2,9,131,2,84,9,Malfunction,Scan_Duration
1,26,222,4,48,9,Malfunction,RF_Power
6,15,126,2,29,7,Malfunction,Magnetic_Field_Strength
3,13,161,2,56,5,Not malfunction,parameters are working correctly
2,19,137,1,43,1,Not malfunction,parameters are working correctly
3,29,115,2,23,2,Not malfunction,parameters are working correctly
2,16,101,1,73,7,Malfunction,Scan_Duration
4,21,130,3,29,6,Malfunction,Magnetic_Field_Strength
1,27,109,4,60,1,Not malfunction,parameters are working correctly
1,15,138,5,40,4,Not malfunction,parameters are working correctly
1,19,232,5,36,8,Malfunction,RF_Power
1,25,112,2,42,2,Not malfunction,parameters are working correctly
3,12,148,2,55,1,Not malfunction,parameters are working correctly
2,11,224,4,33,7,Malfunction,RF_Power
1,16,249,1,32,6,Malfunction,RF_Power
5,21,131,1,60,9,Malfunction,Magnetic_Field_Strength
4,23,80,2,37,6,Malfunction,Magnetic_Field_Strength
3,15,148,2,47,5,Not malfunction,parameters are working correctly
1,22,231,2,48,6,Malfunction,RF_Power
6,24,58,2,27,8,Malfunction,Magnetic_Field_Strength
3,23,193,5,40,5,Not malfunction,parameters are working correctly
2,30,74,1,51,1,Not malfunction,parameters are working correctly
1,30,82,4,34,5,Not malfunction,parameters are working correctly
2,15,144,1,57,4,Not malfunction,parameters are working correctly
5,19,69,2,46,8,Malfunction,Magnetic_Field_Strength
2,15,95,4,22,1,Not malfunction,parameters are working correctly
6,29,118,3,37,6,Malfunction,Magnetic_Field_Strength
2,24,145,4,78,7,Malfunction,Scan_Duration
3,18,178,4,58,3,Not malfunction,parameters are working correctly
3,11,114,7,23,10,Malfunction,Pulse_Sequence
2,26,68,5,24,1,Not malfunction,parameters are working correctly
3,27,53,5,44,1,Not malfunction,parameters are working correctly
2,10,150,2,31,1,Not malfunction,parameters are working correctly
1,20,172,7,31,7,Malfunction,Pulse_Sequence
2,30,69,5,60,3,Not malfunction,parameters are working correctly
3,23,184,5,25,1,Not malfunction,parameters are working correctly
1,15,183,5,21,4,Not malfunction,parameters are working correctly
1,17,54,4,17,4,Not malfunction,parameters are working correctly
2,23,197,5,51,3,Not malfunction,parameters are working correctly
5,24,177,3,19,9,Malfunction,Magnetic_Field_Strength
2,21,248,3,28,6,Malfunction,RF_Power
2,22,160,7,57,7,Malfunction,Pulse_Sequence
2,40,121,2,37,9,Malfunction,Gradient_Strength
1,30,55,3,36,5,Not malfunction,parameters are working correctly
1,11,79,3,45,1,Not malfunction,parameters are working correctly
2,37,132,3,51,9,Malfunction,Gradient_Strength
3,11,134,1,37,1,Not malfunction,parameters are working correctly
2,19,134,3,59,3,Not malfunction,parameters are working correctly
2,10,86,1,51,2,Not malfunction,parameters are working correctly
2,35,99,3,60,9,Malfunction,Gradient_Strength
1,24,74,2,73,6,Malfunction,Scan_Duration
1,38,97,2,41,9,Malfunction,Gradient_Strength
1,19,197,8,38,7,Malfunction,Pulse_Sequence
2,21,135,8,46,10,Malfunction,Pulse_Sequence
2,39,91,6,53,9,Malfunction,Gradient_Strength
2,14,162,1,29,3,Not malfunction,parameters are working correctly
3,29,149,2,54,3,Not malfunction,parameters are working correctly
2,29,157,2,30,5,Not malfunction,parameters are working correctly
1,24,112,7,35,7,Malfunction,Pulse_Sequence
1,25,115,7,48,9,Malfunction,Pulse_Sequence
3,19,128,2,59,1,Not malfunction,parameters are working correctly
2,17,131,6,38,8,Malfunction,Pulse_Sequence
1,17,96,5,17,4,Not malfunction,parameters are working correctly
3,40,87,1,32,8,Malfunction,Gradient_Strength
2,12,201,2,72,7,Malfunction,Scan_Duration
3,22,190,1,50,5,Not malfunction,parameters are working correctly
1,19,136,1,57,5,Not malfunction,parameters are working correctly
1,15,88,3,82,6,Malfunction,Scan_Duration
1,38,103,3,14,9,Malfunction,Gradient_Strength
3,13,91,5,34,2,Not malfunction,parameters are working correctly
2,25,231,5,38,10,Malfunction,RF_Power
2,19,129,7,39,10,Malfunction,Pulse_Sequence
2,21,222,2,24,7,Malfunction,RF_Power
2,39,147,3,32,10,Malfunction,Gradient_Strength
2,16,138,7,39,9,Malfunction,Pulse_Sequence
2,16,157,2,43,5,Not malfunction,parameters are working correctly
3,27,121,1,18,2,Not malfunction,parameters are working correctly
3,12,179,3,41,2,Not malfunction,parameters are working correctly
2,20,91,2,17,5,Not malfunction,parameters are working correctly
1,18,97,5,45,4,Not malfunction,parameters are working correctly
3,27,125,5,20,2,Not malfunction,parameters are working correctly
1,22,187,3,27,4,Not malfunction,parameters are working correctly
2,13,86,7,56,9,Malfunction,Pulse_Sequence
1,33,106,6,30,9,Malfunction,Pulse_Sequence
2,30,89,5,25,3,Not malfunction,parameters are working correctly
2,18,221,2,39,6,Malfunction,RF_Power
2,11,123,5,19,3,Not malfunction,parameters are working correctly
6,21,133,2,59,8,Malfunction,Magnetic_Field_Strength
1,18,122,3,88,6,Malfunction,Scan_Duration
3,26,184,1,45,2,Not malfunction,parameters are working correctly
2,22,99,4,17,3,Not malfunction,parameters are working correctly
2,21,109,2,19,2,Not malfunction,parameters are working correctly
3,12,113,2,44,4,Not malfunction,parameters are working correctly
2,26,66,1,32,3,Not malfunction,parameters are working correctly
1,23,187,4,33,4,Not malfunction,parameters are working correctly
2,37,136,2,23,10,Malfunction,Gradient_Strength
1,36,104,1,34,8,Malfunction,Gradient_Strength
2,22,112,3,36,2,Not malfunction,parameters are working correctly
3,24,131,3,41,2,Not malfunction,parameters are working correctly
2,19,124,6,26,9,Malfunction,Pulse_Sequence
1,20,177,2,41,4,Not malfunction,parameters are working correctly
1,21,163,5,33,3,Not malfunction,parameters are working correctly
4,17,88,1,45,7,Malfunction,Magnetic_Field_Strength
1,17,70,1,51,1,Not malfunction,parameters are working correctly
3,28,66,2,39,1,Not malfunction,parameters are working correctly
2,18,115,5,27,3,Not malfunction,parameters are working correctly
1,14,124,2,78,7,Malfunction,Scan_Duration
3,29,196,1,60,1,Not malfunction,parameters are working correctly
1,40,122,3,43,6,Malfunction,Gradient_Strength
3,28,111,2,23,4,Not malfunction,parameters are working correctly
5,17,173,3,48,7,Malfunction,Magnetic_Field_Strength
1,38,169,4,37,6,Malfunction,Gradient_Strength
5,20,91,3,60,7,Malfunction,Magnetic_Field_Strength
1,21,227,2,54,8,Malfunction,RF_Power
3,13,200,4,54,4,Not malfunction,parameters are working correctly
1,23,156,4,17,2,Not malfunction,parameters are working correctly
2,22,183,1,27,2,Not malfunction,parameters are working correctly
1,29,160,1,37,1,Not malfunction,parameters are working correctly
3,30,164,3,40,4,Not malfunction,parameters are working correctly
1,14,121,3,29,1,Not malfunction,parameters are working correctly
1,25,118,1,45,1,Not malfunction,parameters are working correctly
1,26,166,8,24,10,Malfunction,Pulse_Sequence
4,11,150,3,36,10,Malfunction,Magnetic_Field_Strength
2,14,215,1,22,7,Malfunction,RF_Power
3,13,109,5,59,3,Not malfunction,parameters are working correctly
2,23,198,3,59,4,Not malfunction,parameters are working correctly
5,19,139,1,53,10,Malfunction,Magnetic_Field_Strength
1,22,211,1,38,7,Malfunction,RF_Power
1,24,131,1,72,6,Malfunction,Scan_Duration
1,25,101,4,55,2,Not malfunction,parameters are working correctly
3,17,152,3,21,1,Not malfunction,parameters are working correctly
4,20,137,5,32,7,Malfunction,Magnetic_Field_Strength
3,10,71,2,48,4,Not malfunction,parameters are working correctly
2,39,100,4,54,8,Malfunction,Gradient_Strength
2,28,151,2,49,4,Not malfunction,parameters are working correctly
2,13,62,5,45,5,Not malfunction,parameters are working correctly
2,28,171,3,28,1,Not malfunction,parameters are working correctly
2,23,114,1,72,9,Malfunction,Scan_Duration
3,30,78,3,21,1,Not malfunction,parameters are working correctly
1,20,138,2,76,10,Malfunction,Scan_Duration
1,18,105,2,75,6,Malfunction,Scan_Duration
1,21,122,6,32,7,Malfunction,Pulse_Sequence
1,36,93,2,42,10,Malfunction,Gradient_Strength
1,19,249,4,49,9,Malfunction,RF_Power
3,25,116,1,33,5,Not malfunction,parameters are working correctly
2,35,148,3,37,9,Malfunction,Gradient_Strength
3,14,91,4,20,3,Not malfunction,parameters are working correctly
2,14,121,1,24,5,Not malfunction,parameters are working correctly
1,32,229,1,19,7,Malfunction,RF_Power
5,21,150,1,27,7,Malfunction,Magnetic_Field_Strength
5,17,173,3,37,10,Malfunction,Magnetic_Field_Strength
1,33,160,6,51,8,Malfunction,Pulse_Sequence
2,15,79,4,57,1,Not malfunction,parameters are working correctly
1,23,175,5,28,3,Not malfunction,parameters are working correctly
2,17,135,4,79,9,Malfunction,Scan_Duration
1,17,195,5,40,4,Not malfunction,parameters are working correctly
3,19,67,1,38,5,Not malfunction,parameters are working correctly
1,13,242,2,41,6,Malfunction,RF_Power
2,19,130,2,82,7,Malfunction,Scan_Duration
1,24,132,1,38,3,Not malfunction,parameters are working correctly
3,12,95,5,36,1,Not malfunction,parameters are working correctly
2,40,127,3,39,10,Malfunction,Gradient_Strength
2,39,85,2,49,7,Malfunction,Gradient_Strength
1,10,111,4,35,2,Not malfunction,parameters are working correctly
1,38,112,3,37,10,Malfunction,Gradient_Strength
2,17,123,3,21,3,Not malfunction,parameters are working correctly
5,21,72,2,21,6,Malfunction,Magnetic_Field_Strength
2,18,52,3,35,5,Not malfunction,parameters are working correctly
2,11,135,1,47,1,Not malfunction,parameters are working correctly
2,30,87,2,25,3,Not malfunction,parameters are working correctly
2,25,51,3,21,2,Not malfunction,parameters are working correctly
1,13,227,3,25,10,Malfunction,RF_Power
3,10,153,4,48,2,Not malfunction,parameters are working correctly
6,16,149,3,30,9,Malfunction,Magnetic_Field_Strength
1,40,138,4,40,7,Malfunction,Gradient_Strength
1,18,173,2,35,4,Not malfunction,parameters are working correctly
1,24,104,8,16,10,Malfunction,Pulse_Sequence
6,15,175,2,63,8,Malfunction,Magnetic_Field_Strength
5,18,91,2,42,6,Malfunction,Magnetic_Field_Strength
2,25,62,5,84,8,Malfunction,Scan_Duration
2,35,174,3,44,10,Malfunction,Gradient_Strength
5,15,116,4,46,9,Malfunction,Magnetic_Field_Strength
2,19,143,8,27,7,Malfunction,Pulse_Sequence
0,22,136,3,85,8,Malfunction,Scan_Duration
2,39,159,2,23,6,Malfunction,Gradient_Strength
4,20,153,0,26,9,Malfunction,Magnetic_Field_Strength
1,19,135,5,76,9,Malfunction,Scan_Duration
6,17,117,4,35,10,Malfunction,Magnetic_Field_Strength
5,28,130,3,41,8,Malfunction,Magnetic_Field_Strength
1,19,110,3,39,3,Not malfunction,parameters are working correctly
0,24,97,4,87,9,Malfunction,Scan_Duration
3,21,164,3,41,2,Not malfunction,parameters are working correctly
2,23,85,3,58,1,Not malfunction,parameters are working correctly
3,19,163,2,19,2,Not malfunction,parameters are working correctly
6,11,153,4,33,10,Malfunction,Magnetic_Field_Strength
2,28,129,2,38,1,Not malfunction,parameters are working correctly
1,16,226,1,35,7,Malfunction,RF_Power
2,20,199,3,72,6,Malfunction,Scan_Duration
2,10,60,3,56,1,Not malfunction,parameters are working correctly
4,21,133,1,42,8,Malfunction,Magnetic_Field_Strength
1,18,215,3,24,7,Malfunction,RF_Power
