Heart_Rate,Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Oxygen_Saturation,Temperature,Time,label,parameter
71,91,75,98,36,1,Not malfunction,parameters are working correctly
93,112,68,95,36,4,Not malfunction,parameters are working correctly
98,108,60,99,37,1,Not malfunction,parameters are working correctly
100,113,89,97,36,10,Malfunction,Blood_Pressure_Diastolic
99,118,72,96,36,2,Not malfunction,parameters are working correctly
76,98,62,99,36,1,Not malfunction,parameters are working correctly
83,97,62,98,39,6,Malfunction,Temperature
74,120,65,99,36,4,Not malfunction,parameters are working correctly
73,102,71,97,38,9,Malfunction,Temperature
66,99,60,95,36,1,Not malfunction,parameters are working correctly
118,113,70,95,36,9,Malfunction,Heart_Rate
67,149,78,96,36,7,Malfunction,Blood_Pressure_Systolic
85,119,66,100,37,3,Not malfunction,parameters are working correctly
53,92,92,95,36,7,Malfunction,Blood_Pressure_Diastolic
79,92,92,95,36,9,Malfunction,Blood_Pressure_Diastolic
94,105,60,95,36,5,Not malfunction,parameters are working correctly
66,116,67,87,36,6,Malfunction,Oxygen_Saturation
78,130,71,97,36,8,Malfunction,Blood_Pressure_Systolic
60,98,75,99,36,5,Not malfunction,parameters are working correctly
77,111,72,85,36,10,Malfunction,Oxygen_Saturation
96,112,69,95,36,3,Not malfunction,parameters are working correctly
98,89,67,88,36,10,Malfunction,Oxygen_Saturation
74,95,69,88,36,9,Malfunction,Oxygen_Saturation
92,105,74,95,37,1,Not malfunction,parameters are working correctly
72,103,71,95,40,8,Malfunction,Temperature
93,92,60,100,37,3,Not malfunction,parameters are working correctly
68,119,72,100,36,2,Not malfunction,parameters are working correctly
68,114,73,95,37,4,Not malfunction,parameters are working correctly
81,94,65,89,36,8,Malfunction,Oxygen_Saturation
71,105,67,87,36,9,Malfunction,Oxygen_Saturation
93,109,72,97,36,1,Not malfunction,parameters are working correctly
77,115,63,95,37,3,Not malfunction,parameters are working correctly
94,117,65,96,37,5,Not malfunction,parameters are working correctly
80,107,71,100,36,3,Not malfunction,parameters are working correctly
71,104,88,96,36,10,Malfunction,Blood_Pressure_Diastolic
59,93,91,96,36,10,Malfunction,Blood_Pressure_Diastolic
76,118,66,95,40,6,Malfunction,Temperature
126,105,68,98,36,7,Malfunction,Heart_Rate
78,91,75,99,37,4,Not malfunction,parameters are working correctly
73,120,74,96,36,3,Not malfunction,parameters are working correctly
100,106,63,96,36,1,Not malfunction,parameters are working correctly
63,118,64,98,37,1,Not malfunction,parameters are working correctly
81,145,67,97,36,8,Malfunction,Blood_Pressure_Systolic
70,106,76,100,37,4,Not malfunction,parameters are working correctly
80,91,74,99,37,5,Not malfunction,parameters are working correctly
118,106,72,96,36,7,Malfunction,Heart_Rate
69,111,68,99,37,1,Not malfunction,parameters are working correctly
114,101,62,96,36,8,Malfunction,Heart_Rate
74,99,75,100,36,2,Not malfunction,parameters are working correctly
92,98,76,96,37,1,Not malfunction,parameters are working correctly
69,110,77,97,39,6,Malfunction,Temperature
90,111,74,88,36,6,Malfunction,Oxygen_Saturation
79,96,75,95,36,1,Not malfunction,parameters are working correctly
72,100,70,99,37,2,Not malfunction,parameters are working correctly
75,101,77,98,37,5,Not malfunction,parameters are working correctly
83,98,71,95,37,2,Not malfunction,parameters are working correctly
89,119,60,100,36,5,Not malfunction,parameters are working correctly
79,107,71,97,36,4,Not malfunction,parameters are working correctly
61,118,71,95,36,5,Not malfunction,parameters are working correctly
80,94,77,99,36,5,Not malfunction,parameters are working correctly
97,116,73,100,37,3,Not malfunction,parameters are working correctly
86,108,70,88,36,7,Malfunction,Oxygen_Saturation
111,107,73,97,36,7,Malfunction,Heart_Rate
96,99,71,96,37,5,Not malfunction,parameters are working correctly
75,100,62,97,39,8,Malfunction,Temperature
82,98,71,98,38,9,Malfunction,Temperature
79,112,68,100,36,2,Not malfunction,parameters are working correctly
61,98,76,98,36,5,Not malfunction,parameters are working correctly
77,115,67,99,37,5,Not malfunction,parameters are working correctly
81,100,69,96,39,6,Malfunction,Temperature
75,112,65,99,37,1,Not malfunction,parameters are working correctly
70,109,71,85,37,8,Malfunction,Oxygen_Saturation
72,102,91,97,36,6,Malfunction,Blood_Pressure_Diastolic
63,109,68,99,37,1,Not malfunction,parameters are working correctly
95,98,72,100,37,4,Not malfunction,parameters are working correctly
87,113,66,98,37,1,Not malfunction,parameters are working correctly
92,117,91,97,36,7,Malfunction,Blood_Pressure_Diastolic
73,111,64,95,36,3,Not malfunction,parameters are working correctly
95,110,73,97,39,8,Malfunction,Temperature
129,89,68,98,36,8,Malfunction,Heart_Rate
64,105,65,98,37,3,Not malfunction,parameters are working correctly
130,98,64,98,36,8,Malfunction,Heart_Rate
76,150,67,97,36,6,Malfunction,Blood_Pressure_Systolic
63,99,65,96,37,3,Not malfunction,parameters are working correctly
71,108,70,95,37,4,Not malfunction,parameters are working correctly
67,107,92,96,36,9,Malfunction,Blood_Pressure_Diastolic
86,106,86,97,36,8,Malfunction,Blood_Pressure_Diastolic
84,107,89,96,36,9,Malfunction,Blood_Pressure_Diastolic
89,101,88,95,36,9,Malfunction,Blood_Pressure_Diastolic
76,99,73,95,38,8,Malfunction,Temperature
94,110,63,96,36,1,Not malfunction,parameters are working correctly
70,103,70,97,37,2,Not malfunction,parameters are working correctly
84,99,71,85,36,7,Malfunction,Oxygen_Saturation
62,93,67,96,37,1,Not malfunction,parameters are working correctly
84,105,70,96,37,3,Not malfunction,parameters are working correctly
113,95,67,97,36,6,Malfunction,Heart_Rate
68,104,91,95,36,6,Malfunction,Blood_Pressure_Diastolic
63,93,76,98,36,5,Not malfunction,parameters are working correctly
82,90,62,95,37,4,Not malfunction,parameters are working correctly
65,141,74,96,36,7,Malfunction,Blood_Pressure_Systolic
72,101,68,98,39,7,Malfunction,Temperature
70,111,80,97,36,3,Not malfunction,parameters are working correctly
73,101,73,96,36,4,Not malfunction,parameters are working correctly
73,112,80,97,37,3,Not malfunction,parameters are working correctly
90,97,69,97,37,2,Not malfunction,parameters are working correctly
86,102,70,99,36,4,Not malfunction,parameters are working correctly
112,120,76,96,36,8,Malfunction,Heart_Rate
67,101,67,90,36,10,Malfunction,Oxygen_Saturation
82,106,62,97,36,3,Not malfunction,parameters are working correctly
64,108,59,97,40,10,Malfunction,Temperature
115,116,77,95,36,8,Malfunction,Heart_Rate
66,110,62,87,36,9,Malfunction,Oxygen_Saturation
90,96,61,98,36,4,Not malfunction,parameters are working correctly
123,95,63,96,36,7,Malfunction,Heart_Rate
67,109,68,85,36,8,Malfunction,Oxygen_Saturation
73,93,77,98,36,4,Not malfunction,parameters are working correctly
67,97,76,96,37,5,Not malfunction,parameters are working correctly
87,97,60,99,36,5,Not malfunction,parameters are working correctly
91,115,71,96,37,4,Not malfunction,parameters are working correctly
63,106,78,100,36,2,Not malfunction,parameters are working correctly
97,117,65,100,37,5,Not malfunction,parameters are working correctly
61,118,62,97,37,5,Not malfunction,parameters are working correctly
125,100,66,97,36,8,Malfunction,Heart_Rate
80,111,76,96,38,6,Malfunction,Temperature
130,96,74,98,36,10,Malfunction,Heart_Rate
62,113,60,98,39,7,Malfunction,Temperature
80,147,60,97,35,6,Malfunction,Blood_Pressure_Systolic
91,137,74,99,36,7,Malfunction,Blood_Pressure_Systolic
68,105,71,99,36,4,Not malfunction,parameters are working correctly
80,103,86,95,36,6,Malfunction,Blood_Pressure_Diastolic
70,112,61,95,37,3,Not malfunction,parameters are working correctly
79,114,78,95,36,2,Not malfunction,parameters are working correctly
74,102,61,98,37,5,Not malfunction,parameters are working correctly
73,117,92,100,36,7,Malfunction,Blood_Pressure_Diastolic
71,136,71,97,36,9,Malfunction,Blood_Pressure_Systolic
72,98,80,85,36,10,Malfunction,Oxygen_Saturation
86,113,75,96,39,6,Malfunction,Temperature
74,96,78,99,36,3,Not malfunction,parameters are working correctly
95,99,78,99,36,5,Not malfunction,parameters are working correctly
74,94,69,99,40,9,Malfunction,Temperature
77,110,86,98,36,7,Malfunction,Blood_Pressure_Diastolic
67,99,71,97,38,10,Malfunction,Temperature
124,98,71,99,36,10,Malfunction,Heart_Rate
98,111,77,99,37,1,Not malfunction,parameters are working correctly
70,108,67,96,36,4,Not malfunction,parameters are working correctly
68,104,69,88,36,10,Malfunction,Oxygen_Saturation
100,108,68,95,36,4,Not malfunction,parameters are working correctly
71,96,78,97,36,1,Not malfunction,parameters are working correctly
79,110,90,98,36,10,Malfunction,Blood_Pressure_Diastolic
70,90,76,95,37,4,Not malfunction,parameters are working correctly
95,107,70,95,36,4,Not malfunction,parameters are working correctly
98,94,61,99,36,5,Not malfunction,parameters are working correctly
128,108,67,97,36,6,Malfunction,Heart_Rate
110,104,63,98,36,8,Malfunction,Heart_Rate
92,116,72,100,36,4,Not malfunction,parameters are working correctly
125,108,64,96,36,7,Malfunction,Heart_Rate
70,101,92,96,36,10,Malfunction,Blood_Pressure_Diastolic
83,101,63,96,36,2,Not malfunction,parameters are working correctly
89,99,69,85,36,9,Malfunction,Oxygen_Saturation
82,92,80,95,37,2,Not malfunction,parameters are working correctly
87,96,71,97,38,6,Malfunction,Temperature
125,107,67,96,37,9,Malfunction,Heart_Rate
69,119,71,100,36,5,Not malfunction,parameters are working correctly
74,112,61,95,36,1,Not malfunction,parameters are working correctly
98,119,67,96,40,10,Malfunction,Temperature
79,103,66,97,40,7,Malfunction,Temperature
95,119,71,95,37,2,Not malfunction,parameters are working correctly
95,112,76,97,36,1,Not malfunction,parameters are working correctly
84,105,69,86,36,7,Malfunction,Oxygen_Saturation
93,119,60,99,37,5,Not malfunction,parameters are working correctly
87,113,74,87,36,8,Malfunction,Oxygen_Saturation
93,104,67,95,37,1,Not malfunction,parameters are working correctly
82,148,71,100,36,6,Malfunction,Blood_Pressure_Systolic
71,115,74,95,37,1,Not malfunction,parameters are working correctly
124,100,68,97,36,9,Malfunction,Heart_Rate
82,104,88,97,36,6,Malfunction,Blood_Pressure_Diastolic
80,102,86,99,36,9,Malfunction,Blood_Pressure_Diastolic
85,117,65,95,36,2,Not malfunction,parameters are working correctly
111,100,66,99,36,6,Malfunction,Heart_Rate
85,103,62,100,37,2,Not malfunction,parameters are working correctly
88,108,93,97,36,9,Malfunction,Blood_Pressure_Diastolic
75,93,94,97,36,8,Malfunction,Blood_Pressure_Diastolic
66,109,77,98,37,1,Not malfunction,parameters are working correctly
72,102,69,96,37,5,Not malfunction,parameters are working correctly
89,109,70,95,40,8,Malfunction,Temperature
82,106,77,99,36,3,Not malfunction,parameters are working correctly
89,150,62,96,36,10,Malfunction,Blood_Pressure_Systolic
79,108,76,96,37,4,Not malfunction,parameters are working correctly
110,103,80,97,36,6,Malfunction,Heart_Rate
81,94,94,96,36,10,Malfunction,Blood_Pressure_Diastolic
68,111,68,97,38,10,Malfunction,Temperature
62,100,78,97,36,3,Not malfunction,parameters are working correctly
61,109,74,99,37,3,Not malfunction,parameters are working correctly
121,105,73,97,36,6,Malfunction,Heart_Rate
69,104,60,96,37,4,Not malfunction,parameters are working correctly
78,105,76,99,36,3,Not malfunction,parameters are working correctly
63,150,75,98,36,9,Malfunction,Blood_Pressure_Systolic
59,101,95,97,36,7,Malfunction,Blood_Pressure_Diastolic
85,95,73,97,39,10,Malfunction,Temperature
117,96,60,96,36,6,Malfunction,Heart_Rate
84,106,76,89,36,9,Malfunction,Oxygen_Saturation
93,96,65,96,36,4,Not malfunction,parameters are working correctly
76,94,64,99,37,1,Not malfunction,parameters are working correctly
83,132,74,98,36,8,Malfunction,Blood_Pressure_Systolic
65,106,73,97,40,10,Malfunction,Temperature
73,141,73,98,36,10,Malfunction,Blood_Pressure_Systolic
97,106,80,99,36,3,Not malfunction,parameters are working correctly
75,141,69,98,36,6,Malfunction,Blood_Pressure_Systolic
68,146,78,97,36,7,Malfunction,Blood_Pressure_Systolic
61,91,66,96,36,5,Not malfunction,parameters are working correctly
80,105,66,87,36,6,Malfunction,Oxygen_Saturation
78,108,71,96,40,10,Malfunction,Temperature
71,97,73,100,36,3,Not malfunction,parameters are working correctly
125,111,59,98,36,6,Malfunction,Heart_Rate
90,107,65,88,36,6,Malfunction,Oxygen_Saturation
125,116,59,96,36,10,Malfunction,Heart_Rate
79,132,72,96,36,7,Malfunction,Blood_Pressure_Systolic
79,113,72,99,37,5,Not malfunction,parameters are working correctly
75,101,73,97,36,3,Not malfunction,parameters are working correctly
73,107,92,94,36,7,Malfunction,Blood_Pressure_Diastolic
72,134,73,99,36,8,Malfunction,Blood_Pressure_Systolic
87,107,68,98,36,5,Not malfunction,parameters are working correctly
80,146,69,99,36,8,Malfunction,Blood_Pressure_Systolic
74,107,74,100,37,4,Not malfunction,parameters are working correctly
74,102,85,99,36,7,Malfunction,Blood_Pressure_Diastolic
89,111,61,98,36,4,Not malfunction,parameters are working correctly
81,99,71,96,36,5,Not malfunction,parameters are working correctly
94,97,60,95,37,1,Not malfunction,parameters are working correctly
94,133,61,97,36,10,Malfunction,Blood_Pressure_Systolic
84,104,66,97,38,10,Malfunction,Temperature
72,95,66,99,37,4,Not malfunction,parameters are working correctly
95,103,89,96,36,7,Malfunction,Blood_Pressure_Diastolic
91,105,87,97,36,7,Malfunction,Blood_Pressure_Diastolic
111,111,70,96,36,7,Malfunction,Heart_Rate
93,93,68,85,36,10,Malfunction,Oxygen_Saturation
84,103,65,97,37,4,Not malfunction,parameters are working correctly
62,115,60,100,36,5,Not malfunction,parameters are working correctly
129,101,72,97,36,9,Malfunction,Heart_Rate
69,114,79,96,37,5,Not malfunction,parameters are working correctly
75,114,75,95,36,5,Not malfunction,parameters are working correctly
93,97,70,99,37,1,Not malfunction,parameters are working correctly
78,102,68,90,36,8,Malfunction,Oxygen_Saturation
64,98,70,98,36,2,Not malfunction,parameters are working correctly
88,117,72,99,37,1,Not malfunction,parameters are working correctly
82,112,73,99,37,3,Not malfunction,parameters are working correctly
73,100,92,96,36,9,Malfunction,Blood_Pressure_Diastolic
81,100,75,95,36,4,Not malfunction,parameters are working correctly
127,95,70,97,36,8,Malfunction,Heart_Rate
81,115,75,97,38,6,Malfunction,Temperature
79,96,68,96,37,1,Not malfunction,parameters are working correctly
64,108,74,98,36,4,Not malfunction,parameters are working correctly
83,146,67,98,36,7,Malfunction,Blood_Pressure_Systolic
70,101,79,98,37,2,Not malfunction,parameters are working correctly
69,99,80,95,36,4,Not malfunction,parameters are working correctly
62,115,64,97,37,5,Not malfunction,parameters are working correctly
94,101,66,100,37,5,Not malfunction,parameters are working correctly
82,108,68,86,36,6,Malfunction,Oxygen_Saturation
91,104,68,97,38,9,Malfunction,Temperature
100,110,67,96,37,3,Not malfunction,parameters are working correctly
93,115,61,98,37,5,Not malfunction,parameters are working correctly
122,107,80,95,36,9,Malfunction,Heart_Rate
89,95,74,88,36,7,Malfunction,Oxygen_Saturation
84,108,91,96,36,8,Malfunction,Blood_Pressure_Diastolic
78,109,68,99,36,3,Not malfunction,parameters are working correctly
95,104,68,98,40,6,Malfunction,Temperature
99,92,75,98,37,1,Not malfunction,parameters are working correctly
126,108,78,98,36,6,Malfunction,Heart_Rate
94,131,64,97,36,10,Malfunction,Blood_Pressure_Systolic
83,102,64,95,37,1,Not malfunction,parameters are working correctly
90,103,75,95,38,10,Malfunction,Temperature
90,92,76,100,36,4,Not malfunction,parameters are working correctly
77,118,64,86,36,7,Malfunction,Oxygen_Saturation
71,96,71,96,36,1,Not malfunction,parameters are working correctly
86,107,80,97,37,4,Not malfunction,parameters are working correctly
78,104,70,95,37,2,Not malfunction,parameters are working correctly
115,103,65,96,36,10,Malfunction,Heart_Rate
95,101,80,98,36,5,Not malfunction,parameters are working correctly
77,115,77,85,36,6,Malfunction,Oxygen_Saturation
71,110,60,97,36,5,Not malfunction,parameters are working correctly
100,105,74,100,36,5,Not malfunction,parameters are working correctly
68,112,76,89,35,6,Malfunction,Oxygen_Saturation
83,100,64,85,36,7,Malfunction,Oxygen_Saturation
86,150,76,98,36,9,Malfunction,Blood_Pressure_Systolic
73,107,94,98,36,6,Malfunction,Blood_Pressure_Diastolic
68,96,75,98,37,3,Not malfunction,parameters are working correctly
86,92,80,100,37,1,Not malfunction,parameters are working correctly
68,99,79,95,36,1,Not malfunction,parameters are working correctly
122,119,67,97,36,7,Malfunction,Heart_Rate
94,107,75,97,37,5,Not malfunction,parameters are working correctly
78,93,93,97,36,9,Malfunction,Blood_Pressure_Diastolic
70,108,68,98,37,2,Not malfunction,parameters are working correctly
66,110,60,98,36,2,Not malfunction,parameters are working correctly
76,131,74,97,36,8,Malfunction,Blood_Pressure_Systolic
83,105,80,100,36,2,Not malfunction,parameters are working correctly
122,93,64,96,36,9,Malfunction,Heart_Rate
60,108,77,97,36,5,Not malfunction,parameters are working correctly
88,96,61,100,37,5,Not malfunction,parameters are working correctly
64,90,72,95,37,2,Not malfunction,parameters are working correctly
85,120,63,97,36,2,Not malfunction,parameters are working correctly
70,98,87,97,36,6,Malfunction,Blood_Pressure_Diastolic
73,95,68,96,36,4,Not malfunction,parameters are working correctly
64,92,70,87,36,9,Malfunction,Oxygen_Saturation
60,134,70,99,37,9,Malfunction,Blood_Pressure_Systolic
79,112,61,95,36,5,Not malfunction,parameters are working correctly
85,97,61,98,37,5,Not malfunction,parameters are working correctly
76,95,78,95,37,5,Not malfunction,parameters are working correctly
84,147,73,96,36,9,Malfunction,Blood_Pressure_Systolic
61,120,72,100,36,3,Not malfunction,parameters are working correctly
76,141,67,99,36,9,Malfunction,Blood_Pressure_Systolic
63,109,77,98,36,2,Not malfunction,parameters are working correctly
75,108,86,98,36,7,Malfunction,Blood_Pressure_Diastolic
93,109,76,99,36,2,Not malfunction,parameters are working correctly
81,114,62,98,36,2,Not malfunction,parameters are working correctly
67,96,66,90,36,6,Malfunction,Oxygen_Saturation
77,132,66,96,36,9,Malfunction,Blood_Pressure_Systolic
69,103,76,99,39,9,Malfunction,Temperature
89,90,63,100,37,5,Not malfunction,parameters are working correctly
116,100,73,99,36,10,Malfunction,Heart_Rate
110,92,66,98,36,6,Malfunction,Heart_Rate
76,103,61,96,36,2,Not malfunction,parameters are working correctly
84,141,74,98,36,6,Malfunction,Blood_Pressure_Systolic
80,132,73,98,36,9,Malfunction,Blood_Pressure_Systolic
66,101,77,100,37,3,Not malfunction,parameters are working correctly
61,110,61,99,37,2,Not malfunction,parameters are working correctly
122,105,70,100,36,7,Malfunction,Heart_Rate
77,145,73,97,36,6,Malfunction,Blood_Pressure_Systolic
80,104,75,100,36,4,Not malfunction,parameters are working correctly
88,100,67,89,36,8,Malfunction,Oxygen_Saturation
123,103,72,96,36,7,Malfunction,Heart_Rate
119,99,63,98,36,8,Malfunction,Heart_Rate
70,108,66,95,37,4,Not malfunction,parameters are working correctly
77,98,66,99,36,4,Not malfunction,parameters are working correctly
77,118,80,97,37,2,Not malfunction,parameters are working correctly
89,101,74,99,36,1,Not malfunction,parameters are working correctly
89,143,72,95,36,9,Malfunction,Blood_Pressure_Systolic
121,101,67,99,36,7,Malfunction,Heart_Rate
125,115,69,97,35,6,Malfunction,Heart_Rate
88,136,69,95,36,7,Malfunction,Blood_Pressure_Systolic
130,108,63,97,36,10,Malfunction,Heart_Rate
81,110,65,99,36,2,Not malfunction,parameters are working correctly
92,102,67,95,36,4,Not malfunction,parameters are working correctly
77,103,71,98,40,6,Malfunction,Temperature
87,109,91,96,36,9,Malfunction,Blood_Pressure_Diastolic
114,104,71,96,36,9,Malfunction,Heart_Rate
89,142,73,96,36,10,Malfunction,Blood_Pressure_Systolic
92,103,87,95,36,7,Malfunction,Blood_Pressure_Diastolic
125,102,69,98,36,10,Malfunction,Heart_Rate
71,108,61,97,36,3,Not malfunction,parameters are working correctly
86,139,71,101,36,7,Malfunction,Blood_Pressure_Systolic
85,140,74,96,36,9,Malfunction,Blood_Pressure_Systolic
61,97,75,95,37,5,Not malfunction,parameters are working correctly
64,96,63,98,36,2,Not malfunction,parameters are working correctly
95,118,66,95,37,3,Not malfunction,parameters are working correctly
81,104,87,99,36,9,Malfunction,Blood_Pressure_Diastolic
90,112,68,98,37,1,Not malfunction,parameters are working correctly
129,96,70,97,36,6,Malfunction,Heart_Rate
95,101,82,96,40,9,Malfunction,Temperature
99,117,68,97,37,3,Not malfunction,parameters are working correctly
116,101,59,98,36,9,Malfunction,Heart_Rate
87,147,67,99,36,9,Malfunction,Blood_Pressure_Systolic
82,90,62,97,36,2,Not malfunction,parameters are working correctly
64,98,71,98,40,6,Malfunction,Temperature
93,118,75,95,37,2,Not malfunction,parameters are working correctly
68,103,62,96,37,3,Not malfunction,parameters are working correctly
74,117,73,97,37,4,Not malfunction,parameters are working correctly
95,98,91,95,36,7,Malfunction,Blood_Pressure_Diastolic
94,105,67,98,40,9,Malfunction,Temperature
88,112,85,97,36,7,Malfunction,Blood_Pressure_Diastolic
82,134,70,100,36,8,Malfunction,Blood_Pressure_Systolic
79,116,78,99,37,4,Not malfunction,parameters are working correctly
110,114,65,99,36,9,Malfunction,Heart_Rate
78,115,67,87,35,7,Malfunction,Oxygen_Saturation
65,104,75,90,36,8,Malfunction,Oxygen_Saturation
88,99,65,99,36,5,Not malfunction,parameters are working correctly
73,102,71,98,36,4,Not malfunction,parameters are working correctly
82,112,69,98,36,3,Not malfunction,parameters are working correctly
117,102,62,96,36,9,Malfunction,Heart_Rate
74,100,72,87,36,9,Malfunction,Oxygen_Saturation
129,114,62,96,36,7,Malfunction,Heart_Rate
67,115,70,99,36,5,Not malfunction,parameters are working correctly
94,137,68,98,36,9,Malfunction,Blood_Pressure_Systolic
85,90,80,96,36,4,Not malfunction,parameters are working correctly
124,116,64,96,36,8,Malfunction,Heart_Rate
75,100,62,95,36,2,Not malfunction,parameters are working correctly
128,106,65,95,36,9,Malfunction,Heart_Rate
121,102,67,96,36,10,Malfunction,Heart_Rate
86,102,68,99,36,4,Not malfunction,parameters are working correctly
79,111,63,97,39,6,Malfunction,Temperature
124,109,68,97,36,8,Malfunction,Heart_Rate
69,107,71,97,38,10,Malfunction,Temperature
66,91,80,99,36,1,Not malfunction,parameters are working correctly
74,111,74,100,36,5,Not malfunction,parameters are working correctly
62,124,95,99,36,8,Malfunction,Blood_Pressure_Diastolic
61,132,72,97,36,9,Malfunction,Blood_Pressure_Systolic
69,100,86,97,36,8,Malfunction,Blood_Pressure_Diastolic
122,116,65,97,36,10,Malfunction,Heart_Rate
81,108,62,96,37,4,Not malfunction,parameters are working correctly
76,139,66,98,36,10,Malfunction,Blood_Pressure_Systolic
65,94,61,96,36,4,Not malfunction,parameters are working correctly
88,94,68,97,36,2,Not malfunction,parameters are working correctly
91,90,68,99,36,3,Not malfunction,parameters are working correctly
74,97,69,90,36,7,Malfunction,Oxygen_Saturation
72,100,72,96,40,10,Malfunction,Temperature
97,106,61,99,36,5,Not malfunction,parameters are working correctly
91,119,79,97,36,4,Not malfunction,parameters are working correctly
99,98,93,97,36,8,Malfunction,Blood_Pressure_Diastolic
75,93,78,97,36,1,Not malfunction,parameters are working correctly
81,115,73,95,38,9,Malfunction,Temperature
93,99,66,97,37,3,Not malfunction,parameters are working correctly
75,93,61,97,36,5,Not malfunction,parameters are working correctly
91,139,73,97,36,10,Malfunction,Blood_Pressure_Systolic
118,96,69,98,36,9,Malfunction,Heart_Rate
82,93,80,95,36,5,Not malfunction,parameters are working correctly
82,94,67,100,37,3,Not malfunction,parameters are working correctly
80,104,79,86,36,9,Malfunction,Oxygen_Saturation
96,118,79,97,37,4,Not malfunction,parameters are working correctly
126,98,70,97,36,10,Malfunction,Heart_Rate
65,93,80,97,37,5,Not malfunction,parameters are working correctly
75,101,61,96,37,1,Not malfunction,parameters are working correctly
80,99,71,96,40,6,Malfunction,Temperature
91,96,69,99,37,5,Not malfunction,parameters are working correctly
67,105,70,95,37,4,Not malfunction,parameters are working correctly
98,120,65,96,36,3,Not malfunction,parameters are working correctly
83,117,69,97,36,3,Not malfunction,parameters are working correctly
98,93,65,98,36,5,Not malfunction,parameters are working correctly
67,107,70,97,40,10,Malfunction,Temperature
60,94,71,97,36,3,Not malfunction,parameters are working correctly
81,148,74,96,36,8,Malfunction,Blood_Pressure_Systolic
79,130,77,98,36,7,Malfunction,Blood_Pressure_Systolic
65,116,69,97,37,2,Not malfunction,parameters are working correctly
73,115,92,98,36,9,Malfunction,Blood_Pressure_Diastolic
82,117,73,95,37,1,Not malfunction,parameters are working correctly
62,113,79,95,36,1,Not malfunction,parameters are working correctly
76,116,72,85,36,7,Malfunction,Oxygen_Saturation
85,115,72,97,40,8,Malfunction,Temperature
75,111,85,97,35,8,Malfunction,Blood_Pressure_Diastolic
65,92,67,99,36,4,Not malfunction,parameters are working correctly
113,84,54,97,36,6,Malfunction,Heart_Rate
84,115,79,99,37,3,Not malfunction,parameters are working correctly
73,103,67,97,40,8,Malfunction,Temperature
63,145,72,97,36,6,Malfunction,Blood_Pressure_Systolic
86,107,65,85,36,10,Malfunction,Oxygen_Saturation
98,101,59,86,36,8,Malfunction,Oxygen_Saturation
92,95,68,95,36,3,Not malfunction,parameters are working correctly
69,109,69,100,37,2,Not malfunction,parameters are working correctly
76,99,94,96,36,10,Malfunction,Blood_Pressure_Diastolic
69,113,90,99,36,10,Malfunction,Blood_Pressure_Diastolic
74,117,75,100,37,4,Not malfunction,parameters are working correctly
64,110,76,100,37,2,Not malfunction,parameters are working correctly
91,114,65,87,36,6,Malfunction,Oxygen_Saturation
90,103,73,97,37,5,Not malfunction,parameters are working correctly
60,91,68,96,37,2,Not malfunction,parameters are working correctly
82,100,62,90,36,9,Malfunction,Oxygen_Saturation
85,144,68,97,36,9,Malfunction,Blood_Pressure_Systolic
96,114,61,98,37,4,Not malfunction,parameters are working correctly
64,93,72,100,36,4,Not malfunction,parameters are working correctly
77,92,68,98,37,3,Not malfunction,parameters are working correctly
87,139,63,97,36,8,Malfunction,Blood_Pressure_Systolic
78,103,70,86,36,9,Malfunction,Oxygen_Saturation
69,93,63,97,37,4,Not malfunction,parameters are working correctly
91,116,73,98,36,2,Not malfunction,parameters are working correctly
81,110,67,98,37,3,Not malfunction,parameters are working correctly
80,117,62,100,36,4,Not malfunction,parameters are working correctly
68,147,65,97,36,8,Malfunction,Blood_Pressure_Systolic
63,105,70,97,36,2,Not malfunction,parameters are working correctly
83,97,87,96,36,8,Malfunction,Blood_Pressure_Diastolic
87,112,73,97,37,2,Not malfunction,parameters are working correctly
71,109,92,95,36,6,Malfunction,Blood_Pressure_Diastolic
74,104,65,87,36,10,Malfunction,Oxygen_Saturation
94,118,70,88,36,6,Malfunction,Oxygen_Saturation
79,110,77,97,37,5,Not malfunction,parameters are working correctly
95,115,78,96,36,2,Not malfunction,parameters are working correctly
94,99,70,100,37,5,Not malfunction,parameters are working correctly
81,108,92,97,36,8,Malfunction,Blood_Pressure_Diastolic
79,108,68,95,36,1,Not malfunction,parameters are working correctly
60,100,79,99,36,5,Not malfunction,parameters are working correctly
63,97,71,100,37,1,Not malfunction,parameters are working correctly
81,108,67,98,38,9,Malfunction,Temperature
90,111,90,96,36,6,Malfunction,Blood_Pressure_Diastolic
82,118,76,99,36,2,Not malfunction,parameters are working correctly
77,104,93,97,36,8,Malfunction,Blood_Pressure_Diastolic
88,97,88,96,36,7,Malfunction,Blood_Pressure_Diastolic
99,120,73,100,37,2,Not malfunction,parameters are working correctly
83,93,72,96,36,4,Not malfunction,parameters are working correctly
87,92,71,97,36,3,Not malfunction,parameters are working correctly
92,111,60,97,37,5,Not malfunction,parameters are working correctly
78,111,80,97,40,9,Malfunction,Temperature
69,94,63,95,36,1,Not malfunction,parameters are working correctly
89,102,61,96,37,2,Not malfunction,parameters are working correctly
73,102,77,99,36,2,Not malfunction,parameters are working correctly
83,115,66,97,39,9,Malfunction,Temperature
67,141,64,95,36,6,Malfunction,Blood_Pressure_Systolic
